# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/23.05.5/ath79/generic/profiles.json
# Generated on: Sun Apr 20 17:22:51 CEST 2025

8dev_carambola2 | 8devices | Carambola2 | 8devices Carambola2
tplink_tl-wdr4900-v2 | TP-Link | TL-WDR4900 | TP-Link TL-WDR4900 (v2)
tplink_tl-wdr7500-v3 | TP-Link | TL-WDR7500 | TP-Link TL-WDR7500 (v3)
tplink_tl-wpa8630-v1 | TP-Link | TL-WPA8630 | TP-Link TL-WPA8630 (v1)
tplink_tl-wr1043n-v5 | TP-Link | TL-WR1043N | TP-Link TL-WR1043N (v5)
tplink_tl-wr1043nd-v2 | TP-Link | TL-WR1043N/ND | TP-Link TL-WR1043N/ND (v2)
tplink_tl-wr1043nd-v3 | TP-Link | TL-WR1043N/ND | TP-Link TL-WR1043N/ND (v3)
tplink_tl-wr1043nd-v4 | TP-Link | TL-WR1043N/ND | TP-Link TL-WR1043N/ND (v4)
tplink_tl-wr1045nd-v2 | TP-Link | TL-WR1045ND | TP-Link TL-WR1045ND (v2)
tplink_tl-wr2543-v1 | TP-Link | TL-WR2543N/ND | TP-Link TL-WR2543N/ND (v1)
tplink_tl-wr810n-v1 | TP-Link | TL-WR810N | TP-Link TL-WR810N (v1)
tplink_tl-wr841hp-v2 | TP-Link | TL-WR841HP | TP-Link TL-WR841HP (v2)
tplink_tl-wr841hp-v3 | TP-Link | TL-WR841HP | TP-Link TL-WR841HP (v3)
tplink_tl-wr842n-v3 | TP-Link | TL-WR842N | TP-Link TL-WR842N (v3)
tplink_tl-wr902ac-v1 | TP-Link | TL-WR902AC | TP-Link TL-WR902AC (v1)
tplink_tl-wr941hp-v1 | TP-Link | TL-WR941HP | TP-Link TL-WR941HP (v1)
tplink_wbs210-v1 | TP-Link | WBS210 | TP-Link WBS210 (v1)
tplink_wbs210-v2 | TP-Link | WBS210 | TP-Link WBS210 (v2)
tplink_wbs510-v1 | TP-Link | WBS510 | TP-Link WBS510 (v1)
tplink_wbs510-v2 | TP-Link | WBS510 | TP-Link WBS510 (v2)
trendnet_tew-673gru | Trendnet | TEW-673GRU | Trendnet TEW-673GRU (v1.0R)
trendnet_tew-823dru | Trendnet | TEW-823DRU | Trendnet TEW-823DRU (v1.0R)
ubnt_aircube-ac | Ubiquiti | airCube AC | Ubiquiti airCube AC
ubnt_aircube-isp | Ubiquiti | airCube ISP | Ubiquiti airCube ISP
ubnt_bullet-ac | Ubiquiti | Bullet AC | Ubiquiti Bullet AC
ubnt_bullet-m-xw | Ubiquiti | Bullet M | Ubiquiti Bullet M (XW)
